#TimeZone=India Standard Time,format=V2,isweekly=false
#FidessaCode,ReutersCode,Venue,TimeZone,Time,CumulatedPercentage
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:30:00,0.4738
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:35:00,0.482
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:40:00,0.4915
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:45:00,0.5017
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:50:00,0.512
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:55:00,0.5234
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:00:00,0.5346
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:05:00,0.5474
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:10:00,0.56
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:15:00,0.5731
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:20:00,0.5865
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:25:00,0.601
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:30:00,0.6156
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:35:00,0.6316
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:40:00,0.6475
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:45:00,0.664
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:50:00,0.6813
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,14:55:00,0.7014
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,15:00:00,0.7229
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,15:05:00,0.7449
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,15:10:00,0.7665
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,15:15:00,0.7928
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,15:20:00,0.8215
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,15:25:00,0.8523
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,15:30:00,1
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,0:00:00,0
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:00:00,0
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:15:00,0.0173
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:20:00,0.0333
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:25:00,0.049
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:30:00,0.0643
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:35:00,0.0768
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:40:00,0.0884
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:45:00,0.1015
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:50:00,0.1131
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,9:55:00,0.1248
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:00:00,0.1344
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:05:00,0.1446
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:10:00,0.1549
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:15:00,0.1639
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:20:00,0.1739
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:25:00,0.1836
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:30:00,0.1914
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:35:00,0.199
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:40:00,0.2072
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:45:00,0.2158
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:50:00,0.2234
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,10:55:00,0.2305
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:00:00,0.2378
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:05:00,0.2443
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:10:00,0.251
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:15:00,0.2579
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:20:00,0.2646
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:25:00,0.271
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:30:00,0.2772
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:35:00,0.2833
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:40:00,0.2896
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:45:00,0.2956
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:50:00,0.3013
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,11:55:00,0.3079
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:00:00,0.3141
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:05:00,0.3205
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:10:00,0.3263
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:15:00,0.3331
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:20:00,0.3398
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:25:00,0.3456
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:30:00,0.3518
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:35:00,0.3586
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:40:00,0.3656
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:45:00,0.373
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:50:00,0.3799
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,12:55:00,0.3876
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:00:00,0.3953
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:05:00,0.4026
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:10:00,0.4107
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:15:00,0.4195
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:20:00,0.4287
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:25:00,0.4375
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:30:00,0.4469
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:35:00,0.4555
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:40:00,0.465
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:45:00,0.476
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:50:00,0.4866
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,13:55:00,0.4972
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:00:00,0.5091
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:05:00,0.522
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:10:00,0.5354
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:15:00,0.5486
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:20:00,0.5627
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:25:00,0.5777
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:30:00,0.5943
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:35:00,0.611
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:40:00,0.6282
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:45:00,0.6467
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:50:00,0.6644
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,14:55:00,0.6833
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,15:00:00,0.7062
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,15:05:00,0.7319
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,15:10:00,0.7572
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,15:15:00,0.7832
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,15:20:00,0.8096
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,15:25:00,0.8398
HDFCB.IN,HDBK.NS,NSI-MAIN,India Standard Time,15:30:00,1
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,0:00:00,0
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:00:00,0
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:15:00,0.0236
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:20:00,0.0451
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:25:00,0.065
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:30:00,0.0822
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:35:00,0.0993
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:40:00,0.1154
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:45:00,0.1305
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:50:00,0.1435
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,9:55:00,0.1565
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:00:00,0.1688
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:05:00,0.1812
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:10:00,0.1936
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:15:00,0.2053
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:20:00,0.2157
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:25:00,0.2255
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:30:00,0.2345
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:35:00,0.2427
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:40:00,0.2505
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:45:00,0.2588
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:50:00,0.2666
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,10:55:00,0.2741
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:00:00,0.2821
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:05:00,0.2893
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:10:00,0.2963
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:15:00,0.3026
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:20:00,0.3084
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:25:00,0.3143
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:30:00,0.3198
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:35:00,0.3256
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:40:00,0.3318
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:45:00,0.3374
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:50:00,0.3423
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,11:55:00,0.3479
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:00:00,0.3533
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:05:00,0.3585
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:10:00,0.3639
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:15:00,0.3692
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:20:00,0.3745
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:25:00,0.3794
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:30:00,0.3851
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:35:00,0.3909
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:40:00,0.396
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:45:00,0.402
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:50:00,0.4082
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,12:55:00,0.4143
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:00:00,0.4207
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:05:00,0.4275
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:10:00,0.4352
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:15:00,0.4426
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:20:00,0.451
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:25:00,0.4589
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:30:00,0.4683
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:35:00,0.4781
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:40:00,0.4876
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:45:00,0.4978
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:50:00,0.5093
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,13:55:00,0.5209
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:00:00,0.5326
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:05:00,0.5442
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:10:00,0.5567
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:15:00,0.5709
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:20:00,0.5843
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:25:00,0.6007
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:30:00,0.616
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:35:00,0.6343
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:40:00,0.6515
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:45:00,0.6721
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:50:00,0.693
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,14:55:00,0.7143
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,15:00:00,0.737
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,15:05:00,0.7618
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,15:10:00,0.7879
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,15:15:00,0.8142
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,15:20:00,0.8417
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,15:25:00,0.8729
RELIANCE.IN,RELI.NS,NSI-MAIN,India Standard Time,15:30:00,1
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,0:00:00,0
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:00:00,0
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:15:00,0.0192
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:20:00,0.0353
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:25:00,0.0502
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:30:00,0.0668
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:35:00,0.0807
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:40:00,0.0939
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:45:00,0.1084
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:50:00,0.1208
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,9:55:00,0.1336
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:00:00,0.145
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:05:00,0.1562
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:10:00,0.1659
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:15:00,0.1763
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:20:00,0.1867
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:25:00,0.1961
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:30:00,0.2056
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:35:00,0.2147
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:40:00,0.2224
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:45:00,0.231
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:50:00,0.2391
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,10:55:00,0.2465
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:00:00,0.2533
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:05:00,0.2611
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:10:00,0.2681
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:15:00,0.2753
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:20:00,0.2825
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:25:00,0.2892
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:30:00,0.2961
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:35:00,0.3021
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:40:00,0.3085
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:45:00,0.3143
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:50:00,0.3206
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,11:55:00,0.3267
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:00:00,0.3319
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:05:00,0.337
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:10:00,0.3423
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:15:00,0.3483
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:20:00,0.3538
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:25:00,0.3596
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:30:00,0.3651
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:35:00,0.3709
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:40:00,0.3767
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:45:00,0.3826
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:50:00,0.389
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,12:55:00,0.3957
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:00:00,0.403
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:05:00,0.4102
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:10:00,0.4181
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:15:00,0.4262
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:20:00,0.4349
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:25:00,0.4434
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:30:00,0.4514
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:35:00,0.461
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:40:00,0.4712
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:45:00,0.4817
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:50:00,0.492
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,13:55:00,0.5031
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:00:00,0.5135
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:05:00,0.5259
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:10:00,0.5382
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:15:00,0.5503
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:20:00,0.5624
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:25:00,0.5773
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:30:00,0.5933
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:35:00,0.6074
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:40:00,0.6245
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:45:00,0.6412
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:50:00,0.6579
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,14:55:00,0.676
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,15:00:00,0.6971
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,15:05:00,0.7199
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,15:10:00,0.7403
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,15:15:00,0.7647
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,15:20:00,0.7877
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,15:25:00,0.8159
INFO.IN,INFY.NS,NSI-MAIN,India Standard Time,15:30:00,1
TCS.IN,TCS.NS,NSI-MAIN,India Standard Time,0:00:00,0
TCS.IN,TCS.NS,NSI-MAIN,India Standard Time,9:00:00,0
TCS.IN,TCS.NS,NSI-MAIN,India Standard Time,9:15:00,0.0208
TCS.IN,TCS.NS,NSI-MAIN,India Standard Time,9:20:00,0.0418
TCS.IN,TCS.NS,NSI-MAIN,India Standard Time,9:25:00,0.0636
TCS.IN,TCS.NS,NSI-MAIN,India Standard Time,9:30:00,0.0836
TCS.IN,TCS.NS,NSI-MAIN,India Standard Time,9:35:00,0.1024
TCS.IN,TCS.NS,NSI-MAIN,India Standard Time,9:40:00,0.1183
TCS.IN,TCS.NS,NSI-MAIN,India Standard Time,9:45:00,0.1345
